date,Headlines,Description,source,country_pair
2018-01-10,Cramer makes the bull case for China's move to cut US debt purchases,Jim Cramer laid out the benefits of China potentially halting its purchases of U.S. sovereign debt.,CNBC,CHN-USA
2018-03-20,"Cambridge Analytica played key Trump campaign role, CEO says: UK TV","The suspended chief executive of UK-based political consultancy Cambridge Analytica claimed in secretly recorded video that his company played a decisive role in the 2016 election campaign of President Donald Trump, Channel 4 News reported on Tuesday.",Reuters,GBR-USA
2018-03-20,"Amazon is now second most valuable U.S.-listed company, tops Alphabet","Amazon.com became the second most valuable publicly listed U.S. company on Tuesday, surpassing Google parent Alphabet Inc for the first time.",Reuters,JPN-USA
2018-03-20,New Zealand court rejects Megaupload founder's call for Obama appearance,A New Zealand court rejected on Wednesday internet entrepreneur Kim Dotcom's application for former U.S. President Barack Obama to appear in court in relation to a damages claim over his defunct Megaupload streaming website.,Reuters,NZL-USA
2018-03-20,France's Le Maire blames 'unfair trade' for global commerce woes,"Unfair trade and an overproduction of steel are at the root of international tensions over commerce, France's finance minister Bruno Le Maire said on Tuesday after a G20 gathering in Buenos Aires.",Reuters,ARG-FRA
2018-03-20,"UK investigates Facebook over data breach, to raid Cambridge Analytica",Britain is investigating whether Facebook did enough to protect data after a whistleblower said a London-based political consultancy hired by Donald Trump improperly accessed information on 50 million Facebook users to sway public opinion.,Reuters,GBR-USA
2018-03-20,Tesla denies Musk in talks with Israeli AI vision firm Cortica,"U.S. electric car company Tesla Inc said on Tuesday that Chief Executive Elon Musk, who was visiting Israel, did not discuss a collaboration with artificial intelligence firm Cortica.",Reuters,ISR-USA
2018-03-20,"Germany alarmed by Facebook data abuse reports, lawmakers demand answers","Germany on Tuesday voiced alarm at reports that a political consultancy hired by Donald Trump improperly accessed information on 50 million Facebook users, and lawmakers demanded answers from the company and the government.",Reuters,DEU-USA
2018-03-20,Toys 'R' Us says 'making every effort' to pay vendors,"Toys 'R' Us said at a bankruptcy court hearing on Tuesday that it was working hard to maximize payments to suppliers and lenders, as it starts to shutter 735 big-box toy stores across the United States.",Reuters,CHN-USA
2018-03-21,Drillers give tepid response to record U.S. offshore lease sale,"Oil and gas drillers bid on only a tiny fraction of Gulf of Mexico acreage offered on Wednesday in the largest lease sale in American history, a setback to the Trump administration's efforts to rapidly pump up investment in the region.",Reuters,CHN-USA
