exporter,importer,trade_weight
ABW,AFG,2.048850192938262e-06
ABW,AGO,2.381586804897735e-05
ABW,ALB,5.7580868870093196e-08
ABW,AND,4.43861202501277e-09
ABW,ANT,8.601985183191191e-05
ABW,ARE,1.5940694246447312e-06
ABW,ARG,2.079113169197743e-05
ABW,ARM,4.64294710544814e-09
ABW,ATG,3.50439822923439e-07
ABW,AUT,1.896488008929259e-06
ABW,BEL,4.861461890134902e-05
ABW,BEN,1.1605475772134838e-08
ABW,BFA,3.138813874465552e-09
ABW,BGD,1.475833768338032e-07
ABW,BGR,5.668351450843711e-07
ABW,BHR,1.6987867207020925e-07
ABW,BHS,1.987173793165862e-06
ABW,BIH,1.6734664689359738e-09
ABW,BLR,1.5510546198233026e-08
ABW,BLZ,9.096884261493563e-08
ABW,BMU,8.59531731868415e-09
ABW,BOL,1.6223935102070485e-07
ABW,BRA,0.00031030481656478445
ABW,BRB,3.3434048242256294e-07
ABW,BRN,1.8386373256212316e-08
ABW,BWA,1.4871053076129741e-09
ABW,CAN,0.00011705754139934325
ABW,CHE,8.281332682559382e-06
ABW,CHL,3.5717836096737656e-06
ABW,CHN,3.400053701693753e-05
ABW,CIV,7.320197359078216e-06
ABW,CMR,1.1220770836747257e-08
ABW,COD,9.134534892055265e-09
ABW,COG,7.409038657267693e-09
ABW,COL,0.00017834522310798887
ABW,CRI,0.00020992222726765755
ABW,CUB,3.8914533849786596e-06
ABW,CUW,4.0747336273666507e-05
ABW,CYM,9.660130126730691e-08
ABW,CYP,3.445156270468235e-05
ABW,CZE,3.02069053938671e-08
ABW,DEU,4.280269895356343e-06
ABW,DMA,1.1858711555580382e-08
ABW,DNK,5.852741518237182e-06
ABW,DOM,7.213339522178695e-05
ABW,ECU,0.00010794158448992537
ABW,ESP,5.507537432247472e-05
ABW,EST,7.092041790508327e-07
ABW,ETH,3.224710287907828e-07
ABW,FIN,6.659571638077493e-06
ABW,FJI,3.065909135890463e-08
ABW,FRA,0.00016540379231986274
ABW,GBR,7.89282411920271e-05
ABW,GHA,6.515526758319468e-08
ABW,GIN,2.4946664533079016e-07
ABW,GMB,1.706576319932446e-09
ABW,GRC,1.1218557026519541e-05
ABW,GRD,1.3316556833699456e-07
ABW,GTM,9.043417383427015e-05
ABW,GUY,6.955901966508689e-07
ABW,HKG,1.1343088338551186e-06
ABW,HND,5.242126867920116e-06
ABW,HRV,1.689453796988556e-08
ABW,HTI,7.972852119950474e-08
ABW,HUN,1.143956703877023e-06
ABW,IDN,1.2405990724889272e-06
ABW,IND,2.1362286663775226e-06
ABW,IRL,2.1230971325318968e-07
ABW,IRN,6.463283197430007e-06
ABW,ISR,9.909671742224092e-06
ABW,ITA,2.0947416068408162e-05
ABW,JAM,2.2907999286769435e-06
ABW,JOR,2.8117594332347323e-05
ABW,JPN,4.042996605392066e-08
ABW,KAZ,5.82676617793343e-08
ABW,KEN,7.567965942050759e-11
ABW,KHM,3.469344786984619e-07
ABW,KNA,8.04800622618056e-08
ABW,KOR,6.430141062178823e-05
ABW,KWT,2.969413786146345e-06
ABW,LBN,4.508470931497848e-07
ABW,LCA,6.630034813001411e-08
ABW,LKA,5.6822653282273985e-08
ABW,LTU,1.9522135744965585e-07
ABW,LUX,6.977526999190033e-08
ABW,LVA,2.346069442035735e-10
ABW,MAC,9.980255086079438e-09
ABW,MAR,8.626495824772209e-06
ABW,MDG,1.0564880455102859e-08
ABW,MEX,9.462095998515284e-05
ABW,MKD,2.280063535080654e-06
ABW,MLT,2.2335489244093248e-06
ABW,MMR,9.676905784568904e-09
ABW,MNE,2.9866437021307456e-09
ABW,MNG,2.03694830516673e-07
ABW,MOZ,1.3200154309924103e-07
ABW,MSR,6.150864319401753e-08
ABW,MUS,5.067509994797188e-09
ABW,MWI,8.962742065170714e-09
ABW,MYS,3.521772686059892e-05
ABW,NAM,1.202045257129062e-09
ABW,NCL,6.133079599437935e-09
ABW,NGA,2.2023321460363567e-07
ABW,NIC,1.260938653856518e-05
ABW,NLD,7.870474977348058e-05
ABW,NOR,4.700733931105656e-08
ABW,NPL,6.384966732542523e-08
ABW,NZL,2.9962286661386016e-08
ABW,PAK,2.9385586156698504e-07
ABW,PAN,2.5720936101213283e-05
ABW,PER,5.3254232108779674e-05
ABW,PHL,1.0815609689418314e-06
ABW,PNG,1.4606174268157964e-09
ABW,POL,6.986309544281527e-08
ABW,PRT,6.8437444747485615e-06
ABW,PRY,1.510369234918838e-06
ABW,PSE,1.4259750627160591e-06
ABW,PYF,3.5001842481984757e-10
ABW,QAT,6.31472866136669e-05
ABW,ROU,1.4929912931244038e-05
ABW,RUS,2.221765601437551e-08
ABW,RWA,8.552833509873091e-09
ABW,SAU,2.549347443178256e-05
ABW,SCG,1.8995594514547405e-09
ABW,SDN,0.00017286070934367334
ABW,SEN,6.92184454310989e-06
ABW,SGP,0.00011465368261800416
ABW,SLB,6.623672991631374e-08
ABW,SLV,3.921094244908294e-05
ABW,SRB,3.4522537972321547e-09
ABW,STP,1.3189955574868862e-07
ABW,SUR,8.098888078753642e-06
ABW,SVK,2.9917883290625284e-07
ABW,SVN,3.7745586275551894e-07
ABW,SWE,4.872571625216865e-06
ABW,SYC,2.102570137850252e-08
ABW,SYR,9.365584892266074e-07
ABW,TGO,1.0704887825030798e-08
ABW,THA,1.1045660087460945e-06
ABW,TTO,3.650851721400047e-05
ABW,TUR,1.4874894197243627e-05
ABW,TWN,6.205531919698155e-06
ABW,TZA,7.27387951552138e-08
ABW,UGA,2.896050344746657e-08
ABW,UKR,4.974045615412861e-08
ABW,URY,7.861306293271016e-06
ABW,USA,0.0036661130179042743
ABW,VCT,2.39086957454034e-07
ABW,VEN,5.972187519336993e-05
ABW,VNM,3.769439863140072e-07
ABW,YEM,0.00019955540991664427
ABW,ZAF,7.237021752782855e-06
ABW,ZMB,2.935613988921489e-08
ABW,ZWE,2.8595138869486454e-08
AFG,AGO,1.658074802869414e-06
AFG,ALB,8.07501966016816e-09
AFG,AND,5.789169604271314e-08
AFG,ARE,0.0006077716893817491
AFG,ARG,2.1967837458628417e-07
AFG,ARM,5.3787741273554503e-08
AFG,ATG,1.8250149869255402e-08
AFG,AUS,1.9516175214989626e-06
AFG,AUT,1.2875153418232695e-06
AFG,AZE,8.728450452881391e-08
AFG,BDI,5.438844857020479e-09
AFG,BEL,1.816995849125888e-05
AFG,BEN,2.3194464189895921e-07
AFG,BFA,4.4082219117767223e-08
AFG,BGD,1.2990674634355125e-05
AFG,BGR,2.3776498071153187e-06
AFG,BHR,7.098167638495863e-07
AFG,BHS,2.900422947290953e-09
AFG,BIH,1.4533966969581458e-07
AFG,BLR,5.81305104939445e-06
AFG,BLZ,1.793343049458058e-07
AFG,BMU,2.849868934798054e-08
AFG,BOL,4.914807362001459e-08
AFG,BRA,2.988220654510212e-06
AFG,BRB,3.4980760291146185e-08
AFG,BRN,7.310613055765799e-08
AFG,BWA,2.4411555284076442e-08
AFG,CAF,5.884953745406545e-06
AFG,CAN,5.420704997641552e-06
AFG,CHE,6.64039244470919e-06
AFG,CHL,2.7860808531664905e-07
AFG,CHN,3.254760622176975e-05
AFG,CIV,1.217035348002822e-07
AFG,CMR,5.807873291528096e-08
AFG,COD,1.0501498740338184e-07
AFG,COG,1.9617681314983973e-08
AFG,COL,7.741944397499374e-07
AFG,COM,7.830132895559967e-08
AFG,CPV,1.5041332309825884e-08
AFG,CRI,5.434958391177321e-07
AFG,CUB,2.0869801280096272e-07
AFG,CYP,3.408610058403008e-07
AFG,CZE,1.240682346824758e-06
AFG,DEU,3.450953721589523e-05
AFG,DMA,5.4178122183398624e-08
AFG,DNK,7.2646777392519295e-06
AFG,DOM,2.452228287659858e-06
AFG,DZA,9.134816970785834e-07
AFG,ECU,8.866066460237793e-07
AFG,EGY,4.10728764037224e-06
AFG,ESP,6.38007469845137e-06
AFG,EST,1.7898650755446896e-07
AFG,ETH,5.514965981120939e-08
AFG,FIN,2.961924128470552e-05
AFG,FJI,8.746745437215546e-08
AFG,FRA,1.9764530882920123e-05
AFG,GAB,3.220066800233384e-07
AFG,GBR,1.4568989370220333e-05
AFG,GEO,5.802766822407785e-07
AFG,GHA,8.462994344943522e-08
AFG,GIN,2.0202874281453053e-07
AFG,GMB,1.2684894754449538e-07
AFG,GRC,7.663915136919391e-07
AFG,GRD,2.259037833702151e-09
AFG,GRL,2.6114685476660272e-08
AFG,GTM,2.964232252131354e-07
AFG,GUY,1.7217122518165473e-09
